gene,f_dep_selectivity,f_dep_breadth,f_pan_ess_penalty,f_sl_strength,f_sl_breadth,f_sc_specificity,f_sc_tme_penalty,f_tumor_enrichment,f_tumor_prevalence,f_safety,f_tractability,f_novelty,cat_dependency,cat_selectivity,cat_synthetic_lethality,cat_tumor_specificity,cat_tumor_enrichment,cat_therapeutic_window,cat_tractability,baseline_composite
LYRM4,0.8303886925795053,1.0,0.024617996604414216,0.2729519796380374,0.25,0.3669064748201439,1.0,0.5936395759717314,0.9673202614379084,0.673733804475854,0.25,1.0,0.9151943462897527,0.024617996604414216,0.2614759898190187,0.6834532374100719,0.7804799187048199,0.673733804475854,0.25,0.5127078990434187
C19orf53,0.8268551236749117,0.8055555555555556,0.35653650254668934,0.2185124480898787,0.25,0.9424460431654677,1.0,0.6113074204946997,0.9869281045751634,0.3404004711425206,0.25,1.0,0.8162053396152336,0.35653650254668934,0.23425622404493934,0.9712230215827338,0.7991177625349315,0.3404004711425206,0.25,0.5382484744952926
TAF1C,0.823321554770318,1.0,0.03480475382003401,0.20400325610632114,0.25,0.3129496402877698,1.0,0.0353356890459364,0.1830065359477124,0.3745583038869258,0.0,1.0,0.911660777385159,0.03480475382003401,0.22700162805316057,0.6564748201438849,0.1091711124968244,0.3745583038869258,0.0,0.33052448511228416
SBDS,0.8197879858657244,1.0,0.010186757215619568,0.0,0.0,0.1906474820143885,1.0,0.4204946996466431,0.915032679738562,0.2332155477031802,0.0,1.0,0.9098939929328622,0.010186757215619568,0.0,0.5953237410071942,0.6677636896926025,0.2332155477031802,0.0,0.3451976755073512
KRTAP21-1,0.8162544169611308,0.2083333333333333,0.9235993208828523,0.0,0.0,0.5,0.5,0.04946996466431095,0.0261437908496732,0.8286219081272085,0.0,1.0,0.512293875147232,0.9235993208828523,0.0,0.5,0.037806877756992076,0.8286219081272085,0.0,0.4003317117020407
INTS12,0.8127208480565371,0.6805555555555556,0.5118845500848896,0.0,0.0,0.8525179856115108,1.0,0.8197879858657244,0.9869281045751634,0.7714958775029447,0.0,1.0,0.7466382018060463,0.5118845500848896,0.0,0.9262589928057554,0.9033580452204439,0.7714958775029447,0.0,0.5513765239171543
DDX51,0.8091872791519434,0.9861111111111112,0.06366723259762319,0.2229363237900838,0.25,0.7482014388489209,1.0,0.024734982332155476,0.0261437908496732,0.519434628975265,0.0,1.0,0.8976491951315273,0.06366723259762319,0.23646816189504188,0.8741007194244604,0.02543938659091434,0.519434628975265,0.0,0.3738227606592618
DDX55,0.8056537102473498,0.9861111111111112,0.04414261460101865,0.0,0.0,0.7733812949640287,1.0,0.1872791519434629,0.477124183006536,0.5276796230859836,0.0,1.0,0.8958824106792305,0.04414261460101865,0.0,0.8866906474820144,0.33220166747499946,0.5276796230859836,0.0,0.38379956618903527
PRKRA,0.8021201413427562,0.7638888888888888,0.433786078098472,0.0,0.0,0.7949640287769785,1.0,0.37809187279151946,0.9084967320261438,0.3816254416961131,0.0,1.0,0.7830045151158225,0.433786078098472,0.0,0.8974820143884892,0.6432943024088316,0.3816254416961131,0.0,0.4484560502439612
PREB,0.7985865724381626,1.0,0.004244482173174746,0.0,0.0,0.762589928057554,1.0,0.558303886925795,0.9803921568627452,0.3839811542991755,0.0,1.0,0.8992932862190812,0.004244482173174746,0.0,0.881294964028777,0.7693480218942701,0.3839811542991755,0.0,0.41973741551635413
